sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-08-11 12:10:18+00:00,2.49.0.1.372.0.210811121018.881377, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 12:40:27+00:00,2.49.0.1.372.0.210811124027.892699, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 16:10:19+00:00,2.49.0.1.372.0.210811161019.357733, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-12 02:29:31+00:00,2.49.0.1.372.0.210812022931.822136, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-12 11:50:29+00:00,2.49.0.1.372.0.210812115029.434895, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-12 14:06:40+00:00,2.49.0.1.372.0.210812140640.367451, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-19 09:43:29+00:00,2.49.0.1.372.0.210819094329.191137, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-19 10:01:36+00:00,2.49.0.1.372.0.210819100136.495503, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-19 16:33:26+00:00,2.49.0.1.372.0.210819163326.143712, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-19 22:17:50+00:00,2.49.0.1.372.0.210819221750.069502, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-20 04:19:04+00:00,2.49.0.1.372.0.210820041904.445007, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-20 10:14:29+00:00,2.49.0.1.372.0.210820101429.592713, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-20 15:51:59+00:00,2.49.0.1.372.0.210820155159.332939, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-21 09:32:31+00:00,2.49.0.1.372.0.210821093231.342869, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-08 08:06:52+00:00,2.49.0.1.372.0.210908080652.594687, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-08 16:28:43+00:00,2.49.0.1.372.0.210908162843.035819, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-08 22:02:39+00:00,2.49.0.1.372.0.210908220239.717644, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-09 06:25:39+00:00,2.49.0.1.372.0.210909062539.160063, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-09 12:29:03+00:00,2.49.0.1.372.0.210909122903.311495, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-09 14:39:06+00:00,2.49.0.1.372.0.210909143906.042996, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-12 09:20:08+00:00,2.49.0.1.372.0.210912092008.178323, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-12 16:29:37+00:00,2.49.0.1.372.0.210912162937.218678, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
