id,name,irish_name,county,country,type
17946,Cruickaghmore,Cnoiceach Mór,Donegal,Republic of Ireland,Townland
17947,Cruiserath,Ráth an Chrúisigh,Dublin,Republic of Ireland,Townland
17948,Cruisetown,Baile an Chrúisigh,Louth,Republic of Ireland,Townland
17949,Cruit,An Chruit,Offaly,Republic of Ireland,Townland
17950,Cruit,,Roscommon,Republic of Ireland,Townland
17951,Cruit Lower,An Chruit Íochtarach,Donegal,Republic of Ireland,Townland
17952,Cruit Upper,An Chruit Uachtarach,Donegal,Republic of Ireland,Townland
17953,Crumlin,,Cavan,Republic of Ireland,Townland
17954,Crumlin,,Clare,Republic of Ireland,Townland
17955,Crumlin,Cromghlinn,Donegal,Republic of Ireland,Townland
17956,Crumlin,Cromghlinn,Dublin,Republic of Ireland,Town/Village
17957,Crumlin,Cromghlinn,Galway,Republic of Ireland,Townland
17958,Crumlin,Cromghlinn,Louth,Republic of Ireland,Townland
17959,Crumlin,Cromghlinn,Mayo,Republic of Ireland,Townland
17960,Crumlin,,Mayo,Republic of Ireland,Townland
17961,Crumlin,Cromghlinn,Monaghan,Republic of Ireland,Townland
17962,Crumlin,Cromghlinn,Monaghan,Republic of Ireland,Townland
17963,Crumlin,,Westmeath,Republic of Ireland,Townland
17964,Crumlin Big,Cromghlinn Mhór,Tipperary,Republic of Ireland,Townland
17965,Crumlin East,Cromghlinn Thoir,Galway,Republic of Ireland,Townland
17966,Crumlin Little,Cromghlinn Bheag,Tipperary,Republic of Ireland,Townland
17967,Crumlin West,Cromghlinn Thiar,Galway,Republic of Ireland,Townland
17968,Crummagh,Cromach,Galway,Republic of Ireland,Townland
17969,Crummy,Cromaigh,Leitrim,Republic of Ireland,Townland
17970,Crumpane,An Crompán,Cork,Republic of Ireland,Townland
17971,Crumpaun,An Crompán,Leitrim,Republic of Ireland,Townland
17972,Crumpstown,,Meath,Republic of Ireland,Townland
17973,Crunaun,,Roscommon,Republic of Ireland,Townland
17974,Crunkill,,Roscommon,Republic of Ireland,Townland
17975,Crushea,Crois Aodha,Waterford,Republic of Ireland,Townland
17976,Crusheen,Croisín,Clare,Republic of Ireland,Town/Village
17977,Crusheenkeenoge,Croisín Cianóige,Limerick,Republic of Ireland,Townland
17978,Crusheeny,Na Croisíní,Galway,Republic of Ireland,Townland
17979,Crushterra,Crosdoire,Cork,Republic of Ireland,Townland
17980,Crushyriree,Crois Uí Reidhrí,Cork,Republic of Ireland,Townland
17981,Crussera,An Crosaire,Waterford,Republic of Ireland,Townland
17982,Crutt,An Chruit,Kilkenny,Republic of Ireland,Townland
17983,Crutta North,An Chrotach Thuaidh,Tipperary,Republic of Ireland,Townland
17984,Crutta South,An Chrotach Theas,Tipperary,Republic of Ireland,Townland
17985,Crylough,,Wexford,Republic of Ireland,Townland
17986,Cuba,Cúba,Offaly,Republic of Ireland,Townland
17987,Cubslough,,Wexford,Republic of Ireland,Townland
17988,Cuckoohill,Cnoc na Caillí,Tipperary,Republic of Ireland,Townland
17989,Cuddagh,,Laois,Republic of Ireland,Townland
17990,Cuddoo East,An Codú Thoir,Galway,Republic of Ireland,Townland
17991,Cuddoo West,An Codú Thiar,Galway,Republic of Ireland,Townland
17992,Cuffsborough,Baile Gabhdáin Mór,Laois,Republic of Ireland,Townland
17993,Cuhig,Cuthaigh,Kerry,Republic of Ireland,Townland
17994,Cuilbalkeen,Coill Bhuilcín,Roscommon,Republic of Ireland,Townland
17995,Cuilbeg,An Choill Bheag,Galway,Republic of Ireland,Townland
